game,policy_loss,value_loss,game_type
801,5.242757773399353,1.964935001762933,self-play
802,5.469968606443966,0.28640539801563136,self-play
803,5.545839353970119,0.24805585723495044,self-play
804,5.275538307649118,0.6008607322971026,self-play
805,4.944810152053833,0.26860973285200695,self-play
806,5.490252994355702,0.3652321071703992,self-play
807,5.170482812925827,0.496771747029798,self-play
808,4.562419748306274,1.7669163084443427,self-play
809,5.705071968760917,0.22201769363383073,self-play
810,5.476968658062839,0.12774653640836311,self-play
811,5.0386841882739155,0.14931935582032477,self-play
812,4.795866952222936,0.145327803399939,self-play
813,4.913186716478925,0.31600561261185184,self-play
814,4.943982287457115,0.19800140998763469,self-play
815,4.849986116091411,0.22168767815811874,self-play
816,4.909409293421993,0.26891729585049734,self-play
817,5.690986477701288,0.12117778866986076,self-play
818,5.071524676822481,0.12689076876527647,self-play
819,4.751599170543529,0.07406806332853565,self-play
820,5.134415788415038,0.07432761870217415,self-play
821,4.348840933579665,0.13906933467548627,mentor-play
822,4.767382197909885,0.10316345882084635,mentor-play
823,4.5527971386909485,0.08725889323977754,mentor-play
824,4.946551883921904,0.07994905092260417,mentor-play
825,4.281213487897601,0.053682024723717144,mentor-play
826,5.041700712839762,0.053800520673394206,mentor-play
827,5.794386094266718,0.044032703910488635,mentor-play
828,5.154380071163177,0.03499304911820218,mentor-play
829,5.151517289025443,0.11528713638628167,mentor-play
830,5.080010712146759,0.0031199145887512714,mentor-play
831,4.904626899295383,0.02887317703829871,mentor-play
832,4.453851103782654,0.187343773979228,mentor-play
833,5.504917323589325,0.011143139472551411,mentor-play
834,4.972059641565595,0.012967268819920719,mentor-play
835,5.949360450108846,0.004292616659464936,mentor-play
836,5.97907870952214,0.1312284457217036,self-play
837,4.754255589984712,0.1652906177048119,self-play
838,4.836904731163612,0.17689168979122769,self-play
839,5.466818764805794,0.33677599765360355,self-play
840,5.173134455040319,0.13305019501270032,self-play
841,5.208095763180707,1.1428720776583194,self-play
842,4.819912394610318,0.17971895163963464,self-play
843,5.203098806680417,0.21389172780015775,self-play
844,5.289955054560015,0.1376837532083574,self-play
845,4.973787230830038,0.09640234337125402,self-play
846,5.20281156555551,0.13951288918643945,self-play
847,5.450197647779416,0.17201577930917175,self-play
848,4.827001107705606,0.19619501437724418,self-play
849,5.524288435504861,0.13119431494270145,self-play
850,5.342307175675484,0.25255418859728396,self-play
851,4.835864148641887,0.06694131939423785,self-play
852,5.605202926384224,0.09862001727903519,self-play
853,5.540111535473874,0.046325991849199145,self-play
854,5.086410100342797,0.09401068678144824,self-play
855,5.00285026145308,0.08186190222032527,self-play
856,4.446893374125163,0.17855246985952059,mentor-play
857,4.354024887084961,0.5243145003914833,mentor-play
858,4.270943284034729,0.28288030326366426,mentor-play
859,4.595885813236237,0.2805666960775852,mentor-play
860,4.164818389075143,0.4964915726866041,mentor-play
861,4.075353145599365,0.3395236097276211,mentor-play
862,5.485699229770237,0.22010855376720428,mentor-play
863,4.387346193194389,0.24100475665181875,mentor-play
864,4.585288733243942,0.3060260177589953,mentor-play
865,4.8437884364809305,0.18852772137948445,mentor-play
866,4.479840636253357,0.3243380723521113,mentor-play
867,4.2634142728952265,0.11083230748772621,mentor-play
868,4.497093582153321,0.1287931160380443,mentor-play
869,4.727232933044434,0.03391308481381698,mentor-play
870,4.4744564692179365,0.18338306390990813,mentor-play
871,4.622937539044549,0.039673862485762906,mentor-play
872,5.137439727783203,0.04370390746043995,mentor-play
873,4.535561800003052,0.3184084903279489,mentor-play
874,4.3295109782900125,0.039688176076327054,mentor-play
875,4.121147274971008,0.006438252205650012,mentor-play
876,4.189702081680298,0.017236048231522243,mentor-play
877,4.432209938764572,0.0682066444933298,mentor-play
878,4.502355217933655,0.055695868745845346,mentor-play
879,3.7025394439697266,0.0028495867736637592,mentor-play
880,4.612004790987287,0.006794590037316084,mentor-play
881,4.745242055257162,0.00839148306210215,mentor-play
882,3.501581464494978,0.0025579293142072856,mentor-play
883,5.129874241979499,0.03930409210060086,mentor-play
884,4.661586152879815,0.37615340379507917,self-play
885,4.916965388116383,0.42605321162513327,self-play
886,5.078187407187696,0.43241831020645377,self-play
887,4.811659714070762,0.5399780840408511,self-play
888,4.777170557724802,0.5311128863770711,self-play
889,5.4245605046236065,0.41238287100686305,self-play
890,6.10317895412445,0.12604664992527256,self-play
1,8.45460557937622,1.0095567575522832,self-play
